job_title,job_company,job_location,job_summary
Growth Hacker,Qureos,Karachi,"The ideal candidate for this role should have a good understanding of conversion funnels, customer analytics, customer segmentation, funnel optimization, proven…"
Software Developer II - (ESG),S&P Global,Islamabad,"Experience with debugging, logging, performance monitoring, data visualization and data analytics.We integrate financial and industry data, research and news…"
Cloud Engineer III,S&P Global,Islamabad,Ensuring efficient functioning of data storage and processing functions in accordance with company security policies and best practices in cloud security.
Senior Technical Trainer and Developer / Cloud Specialist,Teradata,Islamabad,"Teradata provides the leading cloud data analytics platform that enables companies to unlock continuous unlimited value from their data, and Teradata customers,…"
"Associate Product Manager, Data Management Solutions",S&P Global,Islamabad,Work in conjunction with the visualization and data science teams to develop and design solutions.Analyze large and complex data sets & Stay up to date with…
Senior Linux Administrator,Ibex,Karachi,"Awareness around that ""Hope is not a Strategy"" when dealing with complex interactions between people and data systems.5+ years of relevant field experience."
MicroStrategy Developer,Systems Limited,Karachi,"Collect, refine, and prepare data for analytics and visualization.Develop, manage, and enhance data models across key metrics to provide best-in-class,…"
Full Stack Developers PHP/ MYSQL,"Virtelligence, Inc",Islamabad,"Collaborate on the design of system architecture, data models, data flows, schemas, and API contracts.Candidate must have a strong programming background and…"
Android Developer…,92 Techno,Islamabad,"Experience working with remote data Via REST and JSON.BS/MS Degree in computer science, engineering or related subject.Must be designed, oriented developer."
Reliability Engineer (Karachi Based),CBRE,Karachi,Consult with key stakeholders to ensure data is accurate.Gather statistical data to support reliability predictions that form part of preventative plans.
Required Software Developer,Human Capital Solutions,Karachi,"Engaged in all phases of the software development lifecycle which include, gathering and analyzing user/business system requirements, responding to outages and…"
Senior Software Engineer/ Tech Lead,Educative,Lahore,"Solid understanding of data structures and algorithms.BS, MS or Ph.D. in computer science.You like to work with fellow engineers and cross functional teams to…"
Associate SQA Engineer,qordata,Karachi,Data engineering and data sciences skills.Performing data quality testing and data verification via database queries.Are able to write SQL queries.
Sr. Android Developer,Appliconic,Islamabad,Implemented extensive data caching models.You will also contribute to our existing portfolio of mobile apps and will help maintain these apps to ensure they…
Associate Graphic Expert,GfK,Karachi,Ensure proper extraction of images.To ensure image uploaded is in accordance with the pre-defined standards.
Lead Software Engineer,CreditBook,Islamabad,"Strong knowledge of data structures, algorithms and architecture design.Leading a team/teams of Full Stack Engineers team through management and mentorship."
Sr. Software Engineer,DMK Consultancy International,Karachi,"Must have good problem-solving, self-independent work and data structure skills.NodeJS would be a plus.Can develop and maintain complex Laravel applications."
Oracle DBA,Apex Consulting,Karachi,"Apex requires an ORACLE DBA with strong database administration experience in implementation, upgrades, disaster recovery, high availability, data consolidation…"
Software Engineer PHP (Symfony / Laravel),Coeus Solutions GmbH,Lahore,"Proficient in data structure concepts, algorithms, OOAD / ERD / UML / Design patterns.Design, build, test, and deploy PHP (Symfony / Laravel) applications."
SENIOR VMWARE ENGINEER,DMK Consultancy International,Karachi,An accomplished VMware engineer will be someone whose expertise results in the successful integration of VMware products across multiple data centers.
Associate Localization Engineer,GfK,Karachi,To suggest improvements in product data development.To produce quality product data as per daily targets in multiple languages.
Sr. iOS Developer,Appliconic,Islamabad,You will also contribute to our existing portfolio of mobile apps and will help maintain these apps to ensure they continue to function flawlessly across new…
MEAN Stack Developer,Appliconic,Islamabad,"Expert with analytics, push notifications, Social API, big data and cloud.2+ years of overall experience.BS/MS degree in Computer Science, Engineering or a…"
React Native Developer (RN),ActiveKey Solutions,Lahore,"Ability to define problems, collect data, establish facts, and draw valid conclusions.Design, code, test, and document applications as per software…"
SQL Server DBA,7nSoft Systems,Karachi,"Maintain documentation and Configuration Management database (CMDB) for data accuracy.Bachelor’s degree in information technology, computer science or related…"
SQL DBA,DMK Consultancy International,Karachi,Promote security and best-practices related to data privacy for all cloud-based data sources.Degree in computer science an asset.
Principal Software Engineer / Lead Software Architect,Educative,Lahore,"Solid understanding of data structures and algorithms.BS, MS or Ph.D. in computer science.You like to work with fellow engineers and cross functional teams to…"
iOS Developer,eDesk Solutions,Karachi,"Experience working with remote data via HTTP, REST and JSON.Design and build applications for the iOS platform.3+ years of experience in iOS development."
Product Manager,CreditBook,Karachi,"BS in computer science, engineering or a related technical field is a big plus.You can drive collaboration across multiple disciplines - data, marketing,…"
Infrastructure Engineer II,S&P Global,Islamabad,Good experience in delivering infrastructure solutions across multiple data centers and cloud.Overseeing 100+ web / api applications hosted in windows/linux…
DevOps Engineer,7nSoft Systems,Karachi,Bring significant operational and data management efficiencies to R&D Engineering and QA teams through automation.3+ year’s experience in a DevOps role.
Manager SFE (Sales Force Effectiveness) – Islamabad,Optimum Advisory,Karachi,Ensure the compilation and monthly analysis of market data.Maintenance of CRM system including data extraction and monitoring standards.
Senior Manager- Technology Consulting- Technology Transforma...,EY,Karachi,"Development of Digital/IT enterprise architecture strategy to support corporate and Digital/IT strategy, covering information/data, application, technology…"
Enterprise Solutions Architect,Abacus Global,Pakistan,"Hands on experience on DevOps, containerization, dockers, Kubernetes.2.Mobile App Development.(iOS, Android, HTML5).Integration Platform (e.g. WSO2)."
DATA SCIENCE ANALYST,Main Games PK,Islamabad,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Data Science & Machine Learning Engineer,Hashed System,Lahore,Designs data integrations and data quality framework.Collaborates with analytics and business teams to improve data models that feed business intelligence…
Digital Trainee Executive Program 2022,ZONG CMPak,Islamabad,"Data Warehouse, Big data, Data Science & Business Intelligence.As a Digital Trainee Executive, you will experience the best development interventions &…"
Assistant IT officer,HRSG,Quetta,Shall have good understanding of operation and support of IT equipment and remote management of distributed IT Systems including documentation of operational…
Data Management,Chatha Enterprises,Rawalpindi,They then collect and organize the data obtained.A Data Manager analyzes the data needs of the company or research organization and uses skills in coding to…
Mobile Apps Testing - QA Specialist(Manual),9D Technologies,Islamabad,"Analyze requirements and prepare test plans/test scenarios, test cases and test data.*Conducting mobile applications testing manually (Android)*."
IT Internship,Expert Tech,Rawalpindi,"Build a candidate CRM to ensure a solid pipeline of qualified candidates - ensuring candidate data is kept updated.Job Types: Full-time, Internship."
HSE Officer,AAA Facility Management (Pvt) Ltd.,Karachi,"Develop and implement HSE practices throughout the organization and regularly inspecting PPE, Safety rules, Work Permit system, Tool box talks, safety meeting,…"
Data Architect/Modeler,L O G X Transport LLC,Islamabad,Expertise skill level with data organization and data modeling.2+ years of data modeling experience.Proficient in industry standard techniques for data…
Data Scientist,Center for Non-Communicable Diseases-CNCD,Karachi,"Knowledge of data science, big data concepts.The Center for Non-Communicable Diseases (CNCD),* is looking for an experienced & qualified person for the…"
M&E Officer-INGO,HRSG,Karachi,• Periodically monitor project M&E activities and conduct data quality checks of all sub-recipients to ensure there are no gaps or inconsistencies within data.
IT Manager,Passion impex Enterprises,Islamabad,"Expertise in data centre management and data governance.Ensure security of data, network access and backup systems.Audit systems and assess their outcomes."
Network Administrator,MENHIR,Islamabad,"We are looking for a *Network Administrator* to maintain a reliable, secure and efficient data communications network.Keep an eye out for needed updates."
Data Analyst,Wego Pte Ltd,Lahore,"Help to manage our core analytical datasets and assist in data investigation, bug reporting and data validation."
Data Analyst,Zones IT Solutions,Islamabad,Expertise to develop data models and automate the extraction and transformation of source data critical to understanding business value chain health.
Data Scientist,Unifonic,Pakistan,"Develop and maintain data science best practices across various departments.Extensive expertise in data science skills including SQL, R, hypothesis testing,…"
Quality Assurance,Brown Tech Int,Lahore,"The selected interns would progress from training to apprenticeship, to potentially a full-time permanent employment role in the Contour Software Karachi office…"
Agronomist,Jaffer Brothers (Pvt.) Limited,Mirpur Khas,"The incumbent is responsible for Farm Management, Farm Advisory Services, Demonstration, Extension Services, Field Trial Experimentation, Data Collection, Data…"
Data Scientist/Machine learning,Vinncorp,Karachi,"Creating algorithms for processing catalog products using different data sources.Strong skills in ML algorithms, data cleaning, and feature extraction."
Social Mobilier,ASK Development,Multan+16 locations,Minimum Education: Bachelors in social sciences or related subject.Collection of Beneficiaries Compliance Data.
"Data Analyst (Tableau, SQL)",ENTERTAINER FZ LLC,Lahore,Ensure data quality & integrity across multiple systems - data warehousing & data management.Will be working within a team to manage data integrity throughout…
Business Analyst,Vizteck Solutions,Rawalpindi,"Candidate should have a four-year degree in Computer Science, Software Engineering, Information Systems, Information Technology, Engineering or a related…"
IT manager,Enablers,Lahore,Managing User's data backup.Installing and configuring client computer systems.Responding to client IT support requests.Tracking and managing work records.
Network Administrator,ICS Group,Karachi,"Knowledge of network security systems, intrusion detection systems, and data backup.We are looking for a Network Administrator to maintain a reliable, secure…"
Data Engineer,Blutech Consulting Pvt. Ltd.,Islamabad,Manage incidents reported by data providers or data consumers and ensure a continuous data flow.Minimum 2 years of experience in data engineering for…
Human Resources Information System Specialist,IDENBRID INC,Lahore,"You will have a university degree in business administration, computer science, or business informatics.You will be responsible for the running and change…"
CRM Software Developer Internship,CrecenTech,Lahore,"Perform data migration from external systems into CRM.BS/MS degree in computer science, engineering, or a related subject.Double salary on Gazetted Holidays."
Financial Analyst,"QuickStart Technologies, Inc.",Karachi,P*assion |*R*espect | *A*ccountability | *I*nnovation | *S*peed | *E*xecution [ *PRAISE* ].QuickStart is MS Gold Partner and provides IT training to fortune…
Assistant Manager Quality Assurance,DRK Pharma Solutions,Lahore,Facilitate proactive solutions by collecting and analyzing quality data.Excellent numerical skills and understanding of data analysis/statistical methods.
E-COMMERCE Inventory and Listing Executive,Temaco Group of companies,Islamabad,"Managing Vendor Accounts, entering big data from different sources.Working on big data provided on Excel sheets or invoices."
Director Human Resources,Tek Headquarters,Lahore,Support management in a highly diverse range of issues such as:Employee health and benefit program administration.Liaison for policies and procedures.
System Administrator,Unique Group of Institutions,Lahore,"Bachelor's degree in engineering, computer science, or related field.Ensure system design allows all components to work together properly."
Network Engineer/ Network Operation Centre,PAKISTAN TELECOMMUNICATION COMPANY LIMITED,Faisalabad,"A 16 years Degree in Computer Science/IT or equivalent with minimum 1-2 years’ experience in IP Networks, LAN/WAN, TCP/IP, Networks Troubleshooting, Technical…"
IT Administrator,N7 Corporate,Rawalpindi,"Developing data retrieval and recovery procedures.Documenting processes, as well as backing up and archiving data."
Senior Data Scientist,ONE Technology Services,Karachi,"Work closely with engineering team on building and deploying data analysis systems for large data sets.Experience with data visualization of large datasets, as…"
"Senior Reporting & Data Analyst (Remote, international exp)",Infina Health Transportation,Karachi,"Creating security and data protection settings.B.S. degree in computer science, computer programming, or related field."
PHP Web Intern,Tecish Sol (Pvt) Ltd,Rawalpindi,"Familiar with data structures and access relevant to the APP, JSON Object/ Arrays/ REST APIs.We are looking for a full-time PHP developer to be part of a…"
Data Engineer Trainee,Squarera (A DataPillar Company),Karachi,Monitor and troubleshoot operational or data issues in the data pipelines.Develop visual automated data pipelines able to process millions of data points.
IT Engineer - location Sharjah,Industrial Manufacturing Co. WLL,Karachi,"Create and enforce policies for effective data management in DC, firewall, etc.Bachelor’s degree in IT, computer science, or related field of study."
Product Manager,Biosorin (Private) Limited,Lahore,"Analyses trends, data, demographics, pricing strategies, and other information that can potentially improve marketing and sales performance."
Male students required,Haider Ali enterprises,Rawalpindi,"Accurate data entry is essential to this position, as well as data hygiene experience.Experience with database and data-entry software."
Senior Data Engineer,Kamayi.pk,Islamabad,"Bachelor’s and/or Master’s degree in Computer Science, Computer Engineering or related technical discipline.Stream-processing systems like Spark-Streaming and…"
Internship - Database Architect and Development,TeqDirect Software,Islamabad+3 locations,"Proficient with SQL queries, data flow diagrams, ERD diagrams, and Database designing.We use time doctor to maintain employee attendance."
Assistant Manager Research/Learning-INGO,HRSG,Karachi,"Analyze & report data from studies, disseminate information to relevant stakeholders (internal and external).Support & oversee in performance in subcontracting…"
Python Developer,Ropstam Solutions Inc.,Islamabad+1 location,"Ability to integrate multiple data sources into a single system.Bachelor's degree in computer science, computer engineering, or related field."
SQL Data Base Manager,EK Global Capital,Karachi,Minimum 2 years of hands on experience in the relevant field.Minimum Bachelors in Computer Science.Karachi: Reliably commute or planning to relocate before…
Technical Associates,Hive Technologies,Faisalabad,"Graduation/Master In computer science, Graduation in Software engineering.This may include ensuring the project stays within the budget, working with staff and…"
Project Coordinator,Ropstam Solutions Inc.,Islamabad,"Set clear, measurable quality goals for an organization in a data-driven way.Reports to Director, manage overall software development lifecycle."
PHP Laravel,IKONIC,Islamabad,Utilize backend data services and contribute to increase existing data services API.Bachelors or equivalent degree from a reputed educational Institute…
Lab Analyst,AL AMIN SALT WORKS (PVT) LIMITED,Karachi,Record data on computer following standard operating methods.Compile and record data for documentation needed for testing and reports preparation.
Assistant Manager IT for night shift on immediate basis,INNOVATECH SOLUTIONS,Karachi,Ensure data protection and virus protection with updated definitions.Be it a logo or corporate stationary designing; we know how to make your brand unleash its…
Senior Software Developer (WordPress),Talent Source,Lahore,"WordPress Developer* who should have some experience and skills with modern web UI architecture, PHP and a strong understanding of industry trends and content…"
Junior Python Developer,Sky Rocket,Karachi,"Bachelor’s degree in computer science.Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers."
Full Stack Developer,Adequate Solutions,Islamabad,"Bachelor's degree in computer science or related field.Understanding of algorithms, data structures, and software design fundamentals."
Senior Lab Analyst,AL AMIN SALT WORKS (PVT) LIMITED,Karachi,Record data on computer following standard operating methods.Compile and record data for documentation needed for testing and reports preparation.
Manager Call Center,Cincore Consulting,Karachi,Utilizing software tools and managing data.Bachelor’s degree in Arts/Science or relevant discipline from an HEC-recognized University.
PHP Back End Developer,Tossdown Technologies Pvt Ltd,Lahore,Bachelor’s degree in computer science or related field (Masters would be a considered a plus).At least 3 years of experience in the same field.
Part - Time Course Instructor / Professor / Teacher - Global...,UTEL University,Islamabad,Digital Marketing (Global Trend & Digital Sales).Education (Design teaching programs & Learning and Memory theories).
Python Developer,Funprime Technology,Islamabad,"Implement security and data protection solutions.Python Developer responsibilities include writing and testing code, debugging programs, and integrating…"
IT Manager (Fluent English Speaking),Ascend HR,Lahore,"Ensure security of data, network access and backup systems.Plan, organise, control and evaluate IT and electronic data operations."
Reporting Analyst,Abacus Consulting,Lahore,"Experience in data Affiliates design.Analyzing product, market and share trends to build Affiliates data.A Bachelor's degree in computer science, engineering,…"
Trainee Engineer _ System & Network Support,Great Sys,Multan,"Provide technical support to users, who can be staff and clients in the USA, and troubleshoot any problems that arise."
Software Engineer (Fresh) - Lahore,PakWheels,Lahore,"A thorough understanding of computer architecture, operating systems, and data structures.They must be comfortable working in an agile environment and have the…"
SEO,Enzipe,Faisalabad,"Must have content optimization hands on experience with data driven result.BA, BSC, MSC Computer science.*.Working with any SEO firm with all aspects of SEO."
Python Developer,Machine Learning 1,Lahore,Implementing security and data protection.Accommodating various data storage solutions.Writing effective and scalable Python codes.
Technical Support Engineer,Sparkwave Technologies,Lahore,"The ability to work with complex problems where analysis of situations or data requires review.As a Technical Support Engineer, you will have the opportunity…"
Senior App Developer,MikroStarTech,Lahore,"Work with outside data sources and APIs.Collaborate cross-functionally with data scientists, business users, project managers and other engineers to achieve…"
BDM /Sales/ QA- Bahria phase 7-,Seed Analytica,Rawalpindi,We are a Full Digital marketing 360 Degree solution provider company and looking for a highly competent and skilled individual with excellent spoken and English…
Marketing Data Insights Analyst,Vinncorp,Karachi,"Excellent communication & presentation skills, with proven experience leveraging proper business mediums and data analysis tools & techniques."
Data Scientist,CampWest,Karachi,Working with data engineers and creating systems with our data in bigquery and SQL to automate reports having auto-refreshing model outputs.
Business Analyst,Orcalo Limited,Rawalpindi+1 location,"How it is done within our organization* By data modeling techniques including an entity relationship diagram (ERD), data dictionary, data map, and system…"
Research Analyst / Statistician,AlKHALEEJ CLINICS,Karachi,Should have expertise to run SPSS data Program.Having Educational Background of Statistics / Life Sciences / Computer Sciences.Computer Skills is a must.
PHP Developer,4 Ace Technologies,Karachi,"Strong competencies in data structures, algorithms, and software design.BS/MS in Computer Science or related field.Excellent communication skills in English."
Junior Software Engineer,Jafferjees Pvt Ltd,Karachi,Very strong in problem-solving and data structure.Qualification: Minimum BS in Computer Science.Should have well command on C#.
Full-Stack WEB Developer (Night Shift),Out Origin,Karachi,"Integrate data from various back-end services and databases.Write well-designed, testable, efficient code by using best software development practices."
Internship - Software Engineering,Arkhitech,Islamabad,"Strong grasp over fundamental computer science concepts such as data structures, algorithms, time complexities, OOP, and MVC."
Network Engineer,Great Sys,Multan+1 location,Maintains networking environment by identifying network requirements; installing upgrades/updates; monitoring network performance for organization and clients;…
Full Stack Developer,Rezaid,Lahore,Create security and data protection settings.Work with data scientists and analysts to improve software.You will be responsible to produce scalable software…
Software Project Coordinator,"Azlaan Technologies, Pvt Ltd",Rawalpindi,"Set clear, measurable quality goals for an organization in a data-driven way.This is a full Night job with timings from *8:00 p.m-5 am. Those who have any type…"
Field Monitor - Bannu,MicroMerger (Pvt.) Ltd,Peshawar,Demonstrated work history of quantifying field data and presenting the same to formal setting.Conduct regular field visits as per the travel plan with the…
Full Stack PHP Laravel Developer - Remote Position,iDig Digital,Lahore,Responsible for the implementation of security and data protection.IDig Digital is hiring for a passionate developer to fill our Full Stack Developer role\*.
Senior Android Developer,Xint Solutions,Lahore,At least 3 to 5 years of experience required.An ideal candidate will have hands on experience developing applications for Android (Smart Phone / Tablets) on…
Network Administrator,Hul Hub,Karachi,Master's or Bachelor's degree in computer science or engineering.Oversees the configuration of firewall security settings to access permissions groups for…
Project Coordinator,DinCloud Pakistan,Islamabad,"\* Running customer environment inventory reports, and performing data analysis for internal, or customer requirements.\* Tracking of Product Pricing and SKUs."
Software Engineer,Thathal ITS,Islamabad,Data Management by bringing data insights to your fingertips.We have a wide spectrum of projects ranging from data exploration to full-stack development.
Data Entry Operator,Carpe Diem Team,Karachi,We are looking for a Data Entry Operator who have experience in IT/ Admin related work and are willing and ready to learn Digital Marketing with us (Remote/Work…
Laravel Developer,Softpers,Lahore,"Integration of data storage solutions.A degree in programming, computer science, or a related field.In this role, you will design and create projects using…"
Asp.Net Development Intern,JMM Technologies,Abbottabad,"Bachelor's degree in Computer Science or relevant field.Done a university project using any .Net Framework (ASP, Webforms, Xamarin, WPF, Winforms)."
Performance KPIs Specialist,CrecenTech,Lahore,Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…
Full-Stack Developer,Tossdown Technologies Pvt Ltd,Lahore,Work with data scientists and analysts to improve software.Bachelor’s degree in computer science (master's would be a considered a plus).
Project Associate – Digital Literacy,HRSG,Karachi, Interest in computer science content and approaches. Ability to read and critically analyze data and situations.Minimum Qualification Bachelor’s degree.
Software Quality Assurance Engineer,BariTechSol,Karachi,"Understanding in writing test plans, testing procedures, test matrices, test data generation and execution of test plans.Minimum Experience: *Fresh to 3 years."
Network Engineer,CrecenTech,Lahore,We are looking for young and energetic individuals with up to 4 years of networking experience.Network Engineer at CrecenTech systems Private Limited…
Full Stack MERN Developer,SaveCo Cash & Carry Ltd,Mirpur,"Implementation of security and data protection.Integration of data storage solutions technologies (e.g. RDBMS, NoSQL DB).MSc in Computer Science desirable."
C# Developer,Technevity Inc.,Islamabad,"Experience with algorithms/data structures knowledge.Design, build and maintain efficient and reliable C# codes.Work on extensions of existing products."
Full Stack Developer,AgriDunya,Karachi,"-Create security and data protection settings.-Work with data scientists and analysts to improve software.As a Full Stack Developer, you should be comfortable…"
Software Engineer - C,Tech Avenue Private Limited,Islamabad,Good understanding of data structures and algorithms.BS degree in Computer Science /Electrical Engineering/Software Engineering or equivalent from an HEC…
Research Officer,Center for Non-Communicable Diseases-CNCD,Larkana,She must be a bachelor's or master's degree holder in Social sciences Psychology or Basic sciences from an HEC recognized university.
Python Developer,element8,Pakistan,"Implement security and data protection solutions.Python Developer responsibilities include writing and testing code, debugging programs and integrating…"
Social Media Specialist,Bahria Enterprise Systems & Technologies (BEST),Karachi,Ability of writing scripts to acquire and hunt data of the interest across the internet having grip on Search Engine Optimization as well.
JavaScript Full Stack Engineer,Tech Avenue Private Limited,Islamabad,Good understanding of data structures and algorithms.BS degree in Computer Science /Software Engineering or equivalent from an HEC recognized university.
Internship - Microsoft .Net Developer,TeqDirect Software,Islamabad+3 locations,"Proficient with SQL queries, data flow diagrams, ERD diagrams, and Database designing.We use time doctor to maintain employee attendance."
E-Commerce Assistant- Females required Urgent Hiring,Temaco Group of companies,Islamabad,"Managing Vendor Accounts, entering big data from different sources.Working on big data provided on Excel sheets or invoices."
Web Developer,Sharp Brains,Lahore,"Utilize backend data services and contribute to increase existing data services API.If you are passionate about technology, constantly seeking to learn and…"
Software Engineer - Fresh - 2022,Arkhitech,Islamabad+1 location,"Strong grasp over fundamental computer science concepts such as data structures, algorithms, time complexities, OOP, and MVC."
Web & PHP Developer,Al Bari Group of Companies,Rawalpindi,"Prepare solutions with recent applicable tools to execute client-specific interfaces, workflows and data analysis libraries."
Senior Business Analyst,Orcalo Limited,Rawalpindi+1 location,"By data modeling techniques including an entity relationship diagram (ERD), data dictionary, data map, and system context diagram."
Django developer,kryptohive,Islamabad,"Implementation of security and data protection.Bachelor's degree in computer science, information technology, or related field."
Data Delivery Manager,Perks HR Pvt. Ltd.,Karachi,"Assist with data analysis, business analysis, data analytics reporting, and technical documentation.Collaborate with Other data operations teams."
Data Scientist (Mid Level),NexDegree,Karachi,Wrangle client and public data to create datasets suitable for appropriate modeling tasks.Experience with non-structured data settings e.g. vision and NLP is a…
IT Support,Al Sharqi Pakistan (Pvt.) Ltd.,Lahore,One will be monitoring the smooth running of computer systems and networks and ensuring that users get maximum benefits from them.Minimum 1-2 years experience.
Jr. Technical Support Representative,Programmers Force,Lahore,Record keeping and data analysis.Technical support representatives help customers to troubleshoot issues with a piece of equipment.Knowledge of APIs and SDKs.
Female E commerce Executive,hallroad.org,Lahore,Manage product listing and update data as and when required for new products and existing ones.Education: Must be Graduate in any of business or Science Field…
Big Data / AI Engineer,A Hamson Inc.,Karachi,"Hands on experience in data integrity policy implementation in Talend ETL.Experience in the analysis, design, development and implementation for data analytics…"
Javascript Fullstack Software Team Lead,Tech Avenue Private Limited,Islamabad,Good understanding of data structures and algorithms.BS degree in Computer Science /Software Engineering or equivalent from an HEC recognized university.
SQA ENGINEER,Wavetec,Lahore+1 location,"Bachelors in Computer sciences/software engineering.Testing databases, validations of data flow on backend.Knowledge of Agile shall be a definite plus."
Full Stack Developer,PREDAMS,Islamabad,"Bachelor's degree in computer science or related field.Understanding of algorithms, data structures, and software design fundamentals."
Flutter Developer,Ropstam Solutions Inc.,Rawalpindi,Integration of data storage solutions.Good understanding of Object Oriented Programming & data structures.You have a bachelor’s degree in computer science or…
Research Medical Officer,Center for Non-Communicable Diseases-CNCD,Hyderabad,"He/She must be a MBBS, / bachelor's or master's degree holder in Social sciences, Psychology, or Basic sciences from an HEC-recognized university."
“Sales Officer (B2B Food Sector)”,Standard Manufacturing Company Pvt Ltd,Lahore,S (food science and technology).Collect and analyze information and prepare data and sales reports.Sales officer drive a company's product and/or service…
SQA Trainee,Contour Software,Lahore+1 location,"Contour Software , a subsidiary of Constellation Software Inc .[CSU.TO], invites upcoming new graduates to apply for induction into the Contour Software 2021…"
Principal Data Scientist,Confiz,Lahore,"Proficiency in the machine learning workflow including data wrangling, feature engineering and model selection and evaluation.Minimum 5 years of experience."
SQL Python Developer,Algo,Lahore,Implement security and data protection solutions.We are looking for a SQL Python developer who will be responsible for designing databases and ensuring their…
Chief Technology Officer (Financial Institute),Fulcrum Pvt Ltd,Karachi,Degree in Information Technology /Computer science.At least 10 years of experience of which 5 years should be as HoD in leading financial institutions or…
Flutter Developer,Tossdown Technologies Pvt Ltd,Lahore,This should include making responsive UIs to efficiently query data and also manage states in an optimized manner.Must have experience working with firebase.
Senior Machine Learning Engineer,Odyssey Analytics,Lahore,"Understanding of basic data science concepts like outlier detection, normalization, data cleaning, features engineering, features selection, model selection,…"
Data Engineer,Odyssey Analytics,Lahore,BS/MS degree in Computer Science or Computer Engineering.3+ years of experience as a Data Engineer.Experience with programming language Python.
Business Analyst,Arwaj Tech,Karachi,"Create mind maps, requirement specifications documents, data mappings, diagrams, project scope, user stories, and flowcharts for stakeholders’ review and…"
IT professional/Technician cum graphic designer,Canadian City Gwadar Head Office Lahore,Lahore,Good knowledge of internet security and data privacy principles.We are looking for a qualified and experienced IT Technician with basic knowledge of graphic…
Technical Business Analyst,Speridian Technologies,Karachi,"Create detailed functional requirements and development artifacts such as workflow diagrams, business rules, data mapping spreadsheets, and/or wireframes."
Front-end Developer,Nexteq,Karachi,"Integrating data from various back-end services and databases.Bachelor’s degree/Certification in computer programming, computer science, or a related field."
Summer Internship Program,Ultimate Outsourcing LDT,Bahawalpur,"You will be working closely with the team to conduct research, capture data, monitoring social platforms and conducting market analysis."
Network Engineer,ASK Development,Faisalabad,"A 16 year Degree in Computer Science/IT or equivalent with minimum 1-2 years’ experience in IP Networks, LAN/WAN, TCP/IP, Networks Troubleshooting, Technical…"
Android Developer,AcclivousByte,Lahore,"Experience working with remote data via REST and JSON.Collaborate with cross-Functional teams to define design, and ship new features."
IT TECHNICIAN,Fabro International (Pvt) Limited,Lahore,"Ensure security of data, network access, and backup systems.Install and configure computer hardware, software, systems, networks, printers, scanners, and…"
Business Analyst,Comprehensive Rehab Consultants,Islamabad,You’ll perform analysis on large amounts of complex data to provide the business with fact-based insights and recommendations.
Laravel Developer,Seven koncepts Pvt. Ltd.,Rawalpindi,Utilize backend data services and contribute to increasing existing data services API.Liaise with fellow back-end and front-end developers.
Senior Php Developer,Tossdown Technologies Pvt Ltd,Lahore,Bachelor’s degree in computer science or related field (Masters would be a considered a plus).At least 3 years of experience in the same field.
Lead Full Stack Developer (Remote),Smart Placement (Pvt) Ltd,Islamabad,Ü Implementation of security and data protection.We are looking for a Full stack NodeJS/Angular Framework responsible for the server and client sides of our…
Data Engineer,Avanceon MEA,Lahore,"Design and develop code, scripts, and data pipelines that leverage structured and unstructured data.Octopus Digital (a subsidiary of Avanceon Limited) is…"
R&D Engineer (Software Development) - All Levels,Upgenics International,Lahore,"The R&D engineer to contribute to the development of software products and supporting systems.In this role, the R&D engineer should collaborate with a team of…"
Data Engineer - Google Cloud,Algo,Lahore,"Partner with data quality and data governance to ensure proper data management.Experience with big data platforms, data architecture, data modeling."
MERN Stack Developer,GTek Solutions dba Fashco Technologies (PVT) LTD,Lahore,"Closely work with the Tech Lead/ Managers/ Developers by discussing tasks, logic, algorithms, and coding-related work.Strong knowledge of HTML & CSS."
Machine Learning Engineer,Horizon Technologies,Karachi,"Study and transform data science prototypes.As a part of our Delivery team, MLE will focus on applying practical skills to create hybrid machine learning and…"
WebFocus Data Science Expert,PureLogics,Lahore,"Ability to bring meaningful insights out of raw data, and make it knowledgeable information.Design, develop, test, document, and deploy high quality business…"
Junior Business Analyst,Orcalo Limited,Lahore,"How it is done within our organization By data modeling techniques including an entity relationship diagram (data dictionary, data map, and system context…"
PHP Software Engineer,Nexus Technologies,Islamabad,Bachelor in computer science/Software Engineering.We are looking for a PHP Developer responsible for managing back-end services and the interchange of data…
Back End Developer,Fulcrum Pvt Ltd,Karachi,Implementation of security and data protection.Design and implementation of data storage solutions.2 years of experience as a Back-end/Server-side developer.
Android Developer,Tech HQs,Lahore,Work with outside data sources and APIs.Experience working with remote data via REST and JSON.The candidate must have working experience with Socket.
IT Executive (Development),Punjab Rural Support Programme,Lahore,Qualification* *(*For All below posts*)*: Bachelor (4 years) / Master (2 years) in Computer Science from HEC recognized University.
Senior Network Administrator,BariTechSol,Karachi,Knowledge of information security and data leak prevention must.Perform data backups of servers and users on regular basis.
Data Entry Operator (PPC),Avery Dennison,Karachi,"Review input/output data and documentation to verify completeness, accuracy, and conformance to quality standards and specifications."
SQL Database Administrator,Technosys,Karachi,Send your updated resume with expected and current salary.SQL Server 2014/2016 Management.Window Server 2008/2012/2016.SQL Server Reporting Services (SSRS).
